Source,Target,Score,Title,Author,Year,Subject
33301,140522,0.7465,The concept of mind in recent thought. ,"Henderson, Thomas Greenshields.",1928,Philosophy.
33301,21226,0.7464,"Les systèmes linguistiques du descriptif, suivi de, Exilée ","Karamanoukian, Charry.",1998,Description (Rhetoric)
33301,22606,0.7449,Samuel Beckett and the Irish grotesque tradition,"Maloney Cahill, B. Claire",1995,"Beckett, Samuel, 1906-1989 -- Criticism and interpretation"
33301,59912,0.7424,The language of loss : reading medieval mystical literature,"Thomson, David (David Ker)",1990,Mysticism and literature
33301,68612,0.7377,Towards a philosophy of imagination : a study of Gilbert Durand and Paul Ricoeur,"Joy, Mavourneen M.",1981,"Durand, Gilbert, 1921-"
32938,32938,1,The politics of imagining nations : a comparative analysis of the Scottish National Party and the Parti quebecois since the 1960s,"Pickles, Eve V.",2001,Scottish National Party.
32938,36967,0.8418,"Empire, federalism and civil society : liberal nationalists in Scotland and Québec","Kennedy, James, 1968-",2000,Nationalism -- Québec (Province)
32938,22560,0.8413,The origins and emergence of Quebec's environmental movement : 1970-1985,"Barr, Jane E.",1995,Environmentalism -- Québec (Province) -- History
32938,32894,0.8197,"L'ethos des modes de regulation sociale : la societe civile, l'etat et le passage a la regulation providentialiste au Quebec, 1944-1960","Turgeon, Luc.",2000,Civil society -- Québec (Province)
32938,59950,0.8176,"The policy of multiculturalism, 1972-1987 : a Marxist perspective","Moosa-Mitha, Mehmoona",1990,Cultural pluralism -- Canada.
32938,21272,0.8146,La grammaire générative de l'argumentaire souverainiste en 1995 ,"Trépanier, Anne.",1998,Nationalism -- Québec (Province)
32548,32548,1,The identification of proteins interacting with the 53BP1 tandem Tudor domains,"Chang, Kai-wei",2009,Biology - Molecular
32548,38190,0.9042,"Insights into the mechanism of CD45-mediated apoptosis in lymphocytes, and establishment of related flow cytometric assays for the detection of cell surface antigens and apoptotic cells","Fortin, Marylene.",2002,"Health Sciences, Immunology."
32548,35868,0.9007,"Genetic, physical and functional interactions between the double-stranded RNA-dependent protein kinase PKR and the tumor suppressor p53","Cuddihy, Andrew Robert.",1999,"Biology, Molecular."
32548,79149,0.8965,TRAF4 is a cytosolic p75 neurotrophin receptor interacting protein that alters receptor trafficking,"Vaillancourt, François, 1978-",2002,"Biology, Neuroscience."
32548,80869,0.8957,HDAC-independent transcriptional repression by RBPI is modulated by SUMO modification,"Roy, Jean-Sébastien",2003,"Biology, Molecular."
32548,107836,0.892,The adapter protein GULP regulates the intracellular trafficking of LRP1 ligands and LRP1 mediated signaling,"Ma, Cheng-I",2012,Biology - Cell
32556,32556,1,How neural activity underlies visual motion perception,"Masse, Nicolas",2009,Biology - Neuroscience
32556,135640,0.9116,Attention filtering of visual information by prefrontal cortex neural ensembles,"Tremblay, Sebastien",2015,Neuroscience
32556,110544,0.9054,The link between neural activity in area MT of visual cortex and motion perception,"Smith, Jackson",2012,Biology - Neuroscience 
32556,135447,0.9023,Updating reach plans for smooth pursuit eye movements,"Stacey, Richard",2015,Physiology
32556,114266,0.8983,The effects of adaptation and attention on temporal perception in the Middle Temporal area of behaving primate,"Sadeghi Ghandehari, Navid",2013,Biology - Neuroscience 
32556,35913,0.8931,Neuronal processing of second-order stimuli,"Mareschal, Isabelle.",1998,Motion perception (Vision) -- Physiological aspects.
32600,32600,1,The EU ETS and unilateralism within international air transport,"Price, Gareth",2009,Social Sciences - Law
32600,66932,0.8514,Aviation and environmental pollution: international attempts for cleaner and quieter skies,"Singh, Karan",2009,Social Sciences - Law
32600,97138,0.8439,Pave the way greenly or punch the way greedily: A comment on EC directive 2008101EC ,"Tsao, Tseng-Hao",2011,Social Sciences - Law
32600,119751,0.8323,The impact of the inclusion of aviation into the EU ETS on the Caribbean island states,"Gonzales, Nicole",2013,Social Sciences - Law
32600,141328,0.8216,Toward governing emissions from aviation that contribute to climate change and global warming,"Ahmad, Md",2016,Air and Space Law
32600,130722,0.8127,Legal aspects of international regime for space traffic management,"Takeuchi, Yu",2015,Social Sciences - Law
32613,32613,1,Reflective learning in a Continuing Medical Education e-learning context,"Leung, Kit Hang",2009,Education - Psychology
32613,36861,0.9043,Validating a theory-based design for online instruction : the integrated learning model,"Ahmad, Arshad.",2000,Learning.
32613,86667,0.8917,Capturing and representing the reasoning processes of expert clinical teachers for case-based teaching,"Gauthier, Geneviève",2010,Education - Psychology
32613,148493,0.8905,Stick! mobile app: The design and evaluation of a self-regulation study tool,"Tressel, Tara",2017,Educational and Counselling Psychology
32613,26723,0.8798,The utility of a pre-developed conceptual framework for learning about national human resources development needs : the case of Nicaragua,"Bracegirdle, Peter.",1996,Manpower policy -- Nicaragua.
32613,95217,0.8756,A metacognitive tool to support reading comprehension of historical narratives,"Poitras, Eric",2010,Education - Technology
32566,32566,1,The legal impacts of the Cape Town Convention on aircraft financing transactions,"Uttarachai, Pleotian",2009,Social Sciences - Law
32566,59970,0.894,Legal aspects of asset based aircraft financing,"Rosales, Rex Kenneth",1990,Law.
32566,30307,0.8422,International recognition of property interests in leased aircraft : the new unidroit convention on mobile equipment,"Iglesias-Badillo, Eduardo J.",1999,"Aeronautics, Commercial -- Finance."
32566,20544,0.8401,International aircraft leasing : impact on international air law treaties,"Pompongsuk, Prasert.",1997,"Political Science, International Law and Relations."
32566,115602,0.8346,Essays on airine competition and network structure,"Belford, Carlene.",2008,Airlines -- Cost of operation.
32566,32791,0.8313,"Aviation : the new order (deregulation, the environment, health, safety and security","Addy, Naa Adoley.",2002,"Political Science, International Law and Relations."
32576,32576,1,Determination of the transmembrane topology of mammalian SLC11A2 by an epitope mapping approach,"Czachorowski, Maciej",2009,Biology - Molecular
32576,100649,0.8609,The molecular and structural characterization of the PTS1 glycosomal protein import pathway in Leishmania donovani ,"Madrid, Kleber Patricio.",2005,Leishmania -- Molecular genetics.
32576,123183,0.8592,Structural and functional characterization of polysaccharide co-polymerases,"Kalynych, Sergei",2014,Biology - Microbiology
32576,19232,0.8567,Pro1853 - A mitochondrial complex I assembly factor,"Silva Neiva, Lissiene",2008,Biology - Genetics
32576,111843,0.8543,Regulatory functions of proteasome component RPN11POH1 in Schistosoma mansoni and human cells,"Nabhan, Joseph.",2006,Schistosoma mansoni -- Development.
32576,34681,0.8531,Characterization of osteopontin in RSV transformed rat-1 cells and its role in cell transformation,"Shanmugam, Vijayalakshmi.",1997,Osteopontin
30721,30721,1,Molecular analysis of normal and mutant forms of the androgen receptor and their interactive properties,"Panet-Raymond, Valerie.",1999,Androgens -- Receptors.
30721,20252,0.939,Novel androgen receptor-protein interactions as possible contributors to the pathogenesis of spinal and bulbar muscular atrophy,"De Tourreil, Sunita.",1997,Androgens -- Receptors.
30721,42065,0.9352,Functional analysis of the human androgen receptor using synthetic and naturally occurring mutations,"Kazemi-Esfarjani, Parsa.",1996,Androgens -- Receptors.
30721,27431,0.9232,Analysis of exon 1 and the 5'-flanking region of the androgen receptor gene in subjects with androgen insensitivity syndrome,"Vasiliou, Denise Marie.",1996,Androgens -- Receptors.
30721,111842,0.923,Structural functional analysis of the human androgen receptor,"Elhaji, Youssef A.",2006,"Biology, Genetics."
30721,80273,0.9172,Molecular analysis of the effects of naturally occurring mutations on human androgen receptor dynamics,"Ghali, Shereen",2002,"Biology, Genetics."
32577,32577,1,Pseudo-dynamic combinatorial chemistry,"Soriano Del Amo, David",2009,Chemistry - Organic
32577,21313,0.8728,A kinetic model for the transformation of phenol by peroxidase ,"Massam, Alexandra.",1999,"Engineering, Chemical."
32577,23386,0.8608,"Synthesis, characterization and a study of the physical properties of pyridinepyridinium based dialkynyl monomers, oligomers and polymers : enhancing conjugation by pyridine nitrogen quaternization","Bunten, Kevin Andreas",1995,"Chemistry, Polymer."
32577,31523,0.8595,The design and synthessis of platinum-based DNA intercalators ,"Paradis, Michel, 1976-",2000,"Chemistry, Inorganic."
32577,39318,0.8576,Miscibility enhancement of aliphatic polyamides with other polymers through ion-dipole interactions,"Molnár, Attila",1992,"Chemistry, Polymer."
32577,19735,0.8568,Pseudo-dynamic combinatorial libraries,"Corbett, Andrew D.",2003,"Chemistry, Organic"
32584,32584,1,"Breeding, dispersal and migration of urban Peregrine falcons in eastern North America","Gahbauer, Marcel A",2009,Biology - Zoology
32584,82257,0.8303,Influence of physico-chemical factors on the distribution and biomass of invasive mussels in the St. Lawrence River,"Jones, Lisa A., 1976-",2005,Zebra mussel -- Saint Lawrence River -- Geographical distribution
32584,101123,0.8282,Assessing a Loggerhead shrike captive-release program using reproductive success and telemetry,"Fraser, Sarah Jane.",2007,Loggerhead shrike -- Québec (Province) -- Reproduction.
32584,86523,0.8213,Seasonal abundance and distribution of mosquito species (Culicidae) in southwestern Québec and their potential role as vectors of West Nile Virus,"Pritchard, Edgar Jonathan",2010,Biology - Entomology
32584,106500,0.8155,Terrestrial habitat and ecology of Fowler's toads (Anaxyrus Fowleri),"Boenke, Morgan",2012,Biology - Ecology
32584,114513,0.8148,Population ecology of a declining amphibian in relation to density,"Middleton, Jessica",2013,Biology - Ecology
32248,32248,1,Toward a theological ethics of sexual difference: Luce Irigaray and Søren Kierkegaard on mediation and intersubjectivity between man and woman,"De Vries, Roland James",2009,Theology
32248,115628,0.7506,Single women and infidelity : a feminist qualitative analysis of extramarital relationships and their termination,"Oala, Monica.",2008,Adultery.
32248,72025,0.7415,La sexualité dans l'oeuvre d'Yves Thériault ,"Benson, Mark, 1951-",1985,"Thériault, Yves -- Criticism and interpretation."
32248,81505,0.7298,The portrayal and function of relationships between women in selected Erzählungen by Ingeborg Bachmann ,"Menzies, Erica L.",2004,"Bachmann, Ingeborg, 1926-1973 -- Criticism and interpretation"
32248,84537,0.7148,"""Liebes-Töten"" : zur Objektwerdung der Frau im Roman der Frühromantik : Novalisʹ Heinrich von Ofterdingen, Friedrich HÜlderlins Hyperion, Friedrich Schlegels Lucinde","Pnevmonidou, Elena",2004,"Novalis, 1772-1801. Heinrich von Ofterdingen"
32248,99392,0.7113,"Spectacular lesbians : visual histories in Winterson, Waters, and Humphreys","Smith, Jenna.",2006,"Winterson, Jeanette, 1959-. Passion."
32592,32592,1,Gender differences in the treatment and outcome of patients with COPD,"Gonzalez, Anne Valerie",2009,Health Sciences - Epidemiology
32592,33746,0.8234,The effectiveness of mask continuous positive pressure in the treatment of acute respiratory failure in patients with chronic obstructive pulmonary disease ,"Dial, M. S. (Mary Sandra)",2002,"Health Sciences, Medicine and Surgery."
32592,123307,0.8199,Partnership between the aryl hydrocarbon receptor (AHR) and RELB regulates cigarette smoke-induced cyclooxygenase-2 (COX-2) expression,"Sheridan, Jared",2014,Health Sciences - Medicine and Surgery 
32592,132688,0.8189,Novel mechanisms and interventions addressing locomotor muscle atrophy and reduced oxidative capacity in severe COPD patients.,"Kapchinsky, Sophia",2015,Health Sciences - Pathology
32592,86535,0.815,Health impacts and psychological risk factors of Chronic Obstructive Pulmonary Disease exacerbations: a one-year follow-up study in China,"Xu, Wanning",2010,Health Sciences - Epidemiology
32592,138830,0.8054,Translating the impacts of chronic obstructive pulmonary disease exacerbations: from population burdens to inflammation,"Labonté, Laura",2016,Medicine
32526,32526,1,"Towards a coherent framework for the multi-scale analysis of spatial observational data: linking concepts, statistical tools and ecological understanding","Larocque, Guillaume",2009,Biology - Biostatistics
32526,22655,0.8824,Dynamic estimation for serial manipulators,"Kapadia, Behram",1995,"Engineering, Electronics and Electrical."
32526,20585,0.8819,Modeling outcome estimates in meta-analysis using fixed and mixed effects linear models,"Mansour, Asmaâ.",1998,Statistics.
32526,103557,0.8662,Algorithms for more accurate comparative genome sequence analysis,"Hickey, Glenn",2011,Applied Sciences - Computer Science
32526,126865,0.864,Predictive invasion ecology and decisions under uncertainty,"Chivers, Corey",2014,Biology - Biostatistics
32526,35864,0.863,Using numerical methods and artificial intelligence in NMR data processing and analysis,"Choy, Wing Yiu, 1969-",1998,"Chemistry, Analytical."
30755,30755,1,Analysis of the structure and function of adenovirus type 5 early region 4 protein,"Thirlwell, Sarah Wendy-Lee.",1999,"Chemistry, Biochemistry."
30755,86049,0.9301,Human adenovirus E4orf4 protein induces premature mitotic arrest by a PP2A-dependent mechanism leading to cell death in Saccharomyces cerevisiae,"Roopchand, Diana Elizabeth",2005,"Chemistry, Biochemistry."
30755,114282,0.9234,Human adenovirus type 5 E4orf4 interacts wih the nucleopore component nup205 to regulate viral gene expression and replication,"Lü, YiQing",2013,Biology - Molecular
30755,81604,0.922,The adenovirus E4orf4 protein induces G2  M arrest and cell death by inhibiting PP2A phosphatase activity regulated by the B Alpha subunit ,"Brignole, Claudine",2004,"Biology, Cell."
30755,29478,0.9133,"Molecular characterization of a novel, aberrant type of apoptosis induced by the adenoviral death protein E4orf4","Szymborski, Adam",2002,"Biology, Molecular."
30755,130545,0.9124,Cell cycle effects associated with human adenovirus E4orf4 protein-induced tumour cell death,"Sriskandarajah, Neera",2015,Biology - Molecular
32533,32533,1,"Democracy, participation, and empowerment: poverty alleviation programs in Sleman, Yogyakarta, Indonesia","Khuluq, Lathiful",2009,Social Sciences - Social Work
32533,106623,0.8081,Study on the inclusion of older people in the national poverty reduction interventions in Tanzania:  A case study of Tanzania social action fund,"Mwakajwanga, Rachel",2012,Social Sciences - Social Work
32533,36862,0.7819,Capacity building in civil society : NGO networks in the regions of Mexico,"Ainsworth, David, 1968-",2001,Non-governmental organizations -- Mexico.
32533,102767,0.7784,Globalization and higher vocational education (HVE) in China : a case study in Shanghai,"Wang, Molin, 1975-",2006,Globalization.
32533,147006,0.7781,The condition of asset poverty and the impact of an asset-based intervention in South Korea,"Weon, SoYoon",2017,Social Work
32533,41714,0.7767,Economic policy and the transition from authoritarian rule in the Philippines : an examination of the privatization of government corporations,"Mendoza, Roger Lee",1993,Privatization -- Philippines
32255,32255,1,Biochemical and molecular characterization of the glycosomal PTS2 import receptor peroxin 7 in «Leishmania donovani»,"Pilar, Ana Victoria",2009,Biology - Parasitology
32255,38190,0.9189,"Insights into the mechanism of CD45-mediated apoptosis in lymphocytes, and establishment of related flow cytometric assays for the detection of cell surface antigens and apoptotic cells","Fortin, Marylene.",2002,"Health Sciences, Immunology."
32255,132783,0.9103,Characterization of ß-arrestins trafficking and signaling functions on G protein-coupled receptors,"Khoury, Etienne",2015,Biology - Molecular
32255,132629,0.907,Novel approaches for the identification of modulators of receptor tyrosine phosphatase sigma,"Wu, Chia-Lun",2014,Biology - General
32255,126980,0.8981,The role of ubiquitin-specific protease 14 in glomerular injury,"Sareen-Khanna, Kapil",2014,Biology - Physiology
32255,102513,0.8977,Netrin and netrin receptor function in glial motility and myelination,"Jarjour, Andrew A.",2006,"Biology, Neuroscience."
30782,30782,1,Transmitter for an adaptive redundant optical interconnect,"Bernier, Eric, 1974-",2000,"Engineering, Electronics and Electrical."
30782,20913,0.8641,"Optoelectronic circuit design, packaging and characterization","Khurana, Pritha.",1998,"Engineering, Electronics and Electrical."
30782,150837,0.8629,Towards design of power-effcient and cost-effective optical interconnect for short-reach applications,"Moayedi Pour Fard, Monireh",2018,UMIC code is not required - UMIC code is not required
30782,103298,0.8512,High-speed parallel optical receivers,"Tang, Wei, 1976-",2007,Optical interconnects.
30782,28237,0.8479,Transceiver design for optical interconnects,"Sinha, Pritam.",1998,"Engineering, Electronics and Electrical."
30782,104619,0.8402,Intra-channel nonlinearity mitigation of long-haul single-carrier coherent detection optical communication systems using digital signal processing,"Pan, Zhaoyi",2011,Engineering - Electronics and Electrical
30795,30795,1,In the eye of the beholder : evidence for development of change blindness,"Miller, Danny, 1971-",2000,Visual perception.
30795,26300,0.7742,A developmental study of visual filtering : can windows facilitate filtering efficiency?,"Pasto, Luigi",1994,Visual perception
30795,38512,0.7669,Developmental changes in the movement of attention to peripheral and central cues : a lifespan perspective,"Randolph, Beth",2002,Visual perception in children
30795,132521,0.757,"Gaze control in head-unrestrained subjects: effects of mechanical, electrical and visual perturbations on eye, head and gaze trajectories","Boulanger, Mathieu",2015,Biology - Neuroscience 
30795,82888,0.7526,Motor theories of attention : how action serves perception in the visual system,"Hafed, Ziad M.",2003,"Engineering, Electronics and Electrical."
30795,145358,0.7455,Deducing neural strategies for eye-head coordination,"Haji-Abolhassani, Iman",2016,Biomedical Engineering
30802,30802,1,Industries culturelles et commerce international : de l'exception à la diversité culturelle,"Michel, Guillaume.",2000,Cultural policy.
30802,21685,0.9011,Negotiating the protection of culture in a free trade context,"Hubin, Cécile.",1998,"Political Science, International Law and Relations."
30802,126666,0.8524,International trade: its relevance to less developed countries,"Lepore, Giuseppe",1969,Economics.
30802,40776,0.8476,Rethinking the world trade order: towards a better legal understanding of the role of regionalism in the multilateral trade regime,"Abualethem Nsour, Mohammad Fahed",2009,Social Sciences - Law
30802,99145,0.844,Competition law and international trade from the GATT to the WTO : the undeniable reality of an emergent jurisprudence,"Malek-Bakouche, Farah.",2005,"Competition, Unfair."
30802,29775,0.8437,International trade law as a means to enforce workers' rights in developing countries : the way forward?,"Vandaele, Arne D. A.",1997,"Political Science, International Law and Relations."
30807,30807,1,"Analysis of correlates and determinants of household behaviour towards Malaria in Tigray, Ethiopia","Balesh, Fadi W.",2000,Malaria -- Treatment -- Ethiopia -- Tigray Kifle Hāger.
30807,56968,0.8301,Antimalarial drug utilization by women in central Ethiopia,"Yeneneh, Hailu",1992,"Health Sciences, Pharmacy."
30807,95235,0.8074,"An assessment of imported malaria and the risk of autochthonous transmission in Ontario, Canada","Eckhardt, Rose",2010,Social Sciences - Geography
30807,111839,0.7884,Entomological evaluation and insecticide resistance monitoring of malaria vectors in Tanzania,"Kulkarni, Manisha A.",2006,Anopheles -- Control -- Tanzania.
30807,97954,0.7761,Ethnobotanical investigation of plants used for the treatment of type 2 diabetes by two Cree communities in Québec : quantitative comparisons and antioxidant evaluation,"Fraser, Marie-Hélène.",2006,Non-insulin-dependent diabetes -- Treatment -- Québec (Province).
30807,69741,0.7734,Compliance with antimalarial chemoprophylaxis and malaria infection : a case-control study,"Svenson, James E.",1993,"Biology, Biostatistics."
30832,30832,1,Microfluidic informatics : an alternative model of computation for the solution of intractable problems,"Siourbas, Constantin.",2000,Computer Science.
30832,117134,0.8385,Parallel vector fitting of systems characterised by measured or simulated data,"Song, Yidi",2013,Engineering - Electronics and Electrical
30832,35951,0.8374,Earth : an efficient architecture for running threads,"Theobald, Kevin Bryan.",1999,"Engineering, Electronics and Electrical."
30832,98979,0.8255,FPGA emulation of quantum circuits,"Khalid, Ahmed Usman.",2005,"Engineering, Electronics and Electrical."
30832,104641,0.8215,Multicore acceleration of sparse electromagnetics computations,"Fernández Becerra, David",2011,Engineering - Electronics and Electrical
30832,124292,0.8194,The design of a pulse generator for a diffraction field computer.,"Radley, Sidney Alan.",1950,Physics.
31119,31119,1,A comparative study of time-stretching algorithms for audio signals ,"Markle, Blake L.",2001,Sound -- Recording and reproducing -- Digital techniques.
31119,82628,0.8693,Lapped transforms in perceptual coding of wideband audio,"Ruan, Sien",2004,"Engineering, Electronics and Electrical."
31119,141565,0.8603,Speech enhancement in modulation domain using codebook-based speech and noise estimation,"Mani, Vidhyasagar",2016,Electrical and Computer Engineering
31119,115151,0.8406,An automatic test system for determining the frequency response of processes with long time constants.,"Levine, Martin. D.",1963,Electrical Engineering.
31119,109587,0.8403,Sub-audible noise spectra measurement.,"Armstrong, Robert. A.",1954,Physics.
31119,29771,0.8395,Objective selection of critical material for subjective testing of low bit-rate audio coding systems,"McKinnie, Douglas J.",1996,Signal processing.
31094,31094,1,"""A choking gall and a preserving sweet"" : gender and genre in Campion's First Booke of Ayres and Wilbye's First Set of English Madrigals","Campbell, Annette.",2000,"Campion, Thomas, 1567-1620. Ayres, 1st book."
31094,114202,0.774,"The cantatrice and the profession of singing at the Paris Opéra and Opéra Comique, 1830-1848","White, Kimberly",2013,Communications And The Arts - Music
31094,26712,0.769,The embroidered word : using traditional songs to educate women in India,"Varma, Anushree.",1997,Women -- Education -- India.
31094,36766,0.7617,Melting the Venusberg : a feminist theology of music,"Epstein, Heidi.",2000,Feminism and music.
31094,81521,0.7613,After the riot : taking new feminist youth subcultures seriously,"Wilson, Angela, 1979-",2004,Feminism
31094,86679,0.7434,"Music on the fault line: Gender, sexuality, and the Second Viennese School, 1899-1925","Pedneault-Deslauriers, Julie",2010,Communications And The Arts - Music
30709,30709,1,The molecular epidemiology of tuberculosis in Montreal and British Columbia ,"Musana, Kenneth Apollo.",1999,"Biology, Molecular."
30709,98719,0.7986,The geography of tuberculosis and its transmission on the Island of Montreal ,"Haase, Ian.",2005,Tuberculosis -- Québec (Province) -- Montréal Island (Island).
30709,143749,0.7855,"The impact of tuberculosis disease and infection: estimating patient-reported health-related quality of life and health utility among persons screened and treated for tuberculosis in Montreal, Canada","Bauer, Melissa",2016,Epidemiology and Biostatistics
30709,110565,0.7848,Hepatitis B in migrants: burden of infection and the cost-effectiveness of interventions to decrease associated morbidity and mortality,"Rossi, Carmine",2012,Health Sciences - Public Health
30709,110736,0.7828,Estimating and comparing the burden of chronic Hepatitis C in the immigrant and the non-immigrant population in Québec,"Hamour, Naylah",2012,Health Sciences - Epidemiology
30709,135654,0.7762,Predicting non-communicable disease based on behavioral risk factors and social determinants of health -- A Canadian study,"Jia, Yining",2015,Agricultural Economics
30737,30737,1,Hydrologic modelling on the Saint Esprit watershed,"Romero, David R.",2000,Hydrologic models.
30737,27909,0.8433,Identification of critical areas of non-point source pollution from flat agricultural watersheds,"Singh, Rajesh Kumar.",1997,Water quality -- Ontario -- Black Rapid Creek Watershed.
30737,81612,0.8298,Evaluating management practices to limit phosphorus losses from agricultural fields in the Castor watershed using the WEND model,"Choquette, Carolyne",2005,Phosphorus -- Environmental aspects -- Québec (Province) -- Castor River Watershed.
30737,98710,0.8115,Hydrological and water quality modeling of agricultural fields in Quebec,"Gollamudi, Apurva.",2006,Water quality -- Pike River Watershed (Vt. and Québec) -- Mathematical models.
30737,141599,0.8035,Testing the robustness of land-use regression models for atmospheric nitrogen dioxide and ozone using data from fixed and mobile monitoring campaigns,"Minet, Laura",2016,Civil Engineering & Applied Mechanics
30737,36905,0.8006,Soil moisture redistribution modeling with artificial neural networks,"Davary, Kamran.",2001,Soil moisture -- Mathematical models.
30743,30743,1,"Maasai use of plants in Loliondo, Tanzania, and their impact on wild populations of two of the most used trees : Juniperus procera Endl. (Cupressaceae) and Olea africana Mill. (Oleaceae)","Searle, Nicholas A.",1999,Masai (African people) -- Ethnobotany -- Tanzania.
30743,116949,0.7836,A comparative study on the effect of a eucalyptus and a mixed acacia-eucalyptus plantation on the water balance of a small Ecuadorian Andes catchment,"Hochet, Sylvana",2013,Earth Sciences - Hydrology
30743,69667,0.7821,"The use, abundance and conservation of woody species in the Batemi Valley, northwestern Tanzania ","Smith, Wynet",1993,Woody plants -- Tanzania
30743,101139,0.7817,"Mapping vegetation phenology in the Sahel and Soudan, Africa, 1982 to 2005","Heumann, Benjamin W.",2006,Vegetation monitoring -- Sahel -- Remote sensing.
30743,42093,0.7777,"Alternaria alternata f. sp. sphenocleae, a potential mycoherbicide of gooseweed (Sphenoclea zeylanica gaertner)","Masangkay, Rhomela Favila.",1996,Alternaria diseases.
30743,126979,0.7777,Conserving and restoring biodiversity and ecosystem services in African tropical rainforest,"Jacob, Aerin",2014,Biology - Ecology
30847,30847,1,An overview of the statistical analyses of the bovine spongiform encephalopathy epidemic ,"Sturm-Beiss, R.",2000,"Biology, Biostatistics."
30847,115184,0.8286,Bradykinin release in experimental acute haemorrhagic pancreatitis.,"Moffat, John. G.",1963,Pancreatitis
30847,34995,0.8249,Studies on the effects of recombinant bovine somatotropin on nutritional status and reproduction of dairy cows,"Lefebvre, Daniel Maurice.",1998,Dairy cattle.
30847,132779,0.8222,Consequences of «Heligmosomoides bakeri» (Nematoda) infection and protein deficiency during pregnancy and lactation on maternal and fetal outcomes in mice,"Starr, Lisa Michelle",2015,Biology - Parasitology
30847,104886,0.8189,Food animal reservoir for extraintestinal pathogenic «Escherichia coli» causing human infections,"Racicot Bergeron, Catherine",2011,Biology - Microbiology
30847,56661,0.8152,Dietary fat modulation of phenytoin teratogenicity in CD-1 mice,"High, Kim",1992,Phenytoin.
31027,31027,1,"The house building activities of the informal sector : a case study in Las Pinas City, Philippines","Maribbay, Annalyn.",2000,Housing -- Philippines.
31027,23204,0.8673,"User transformation of government housing projects : case study, Egypt","Salama, Rafik",1995,Public housing -- Egypt
31027,82824,0.8594,"Selection model to choose innovative building systems for progressive housing with special reference to Metro Manila, Philippines","Astrand, Rachelle Navarro",2002,House construction -- Philippines -- Manila
31027,60470,0.83,Conjunctive housing : housing in mixed-use complexes,"Fung, Augustine",1990,Housing
31027,23203,0.8257,Post-occupancy adaptation of affordable single-family housing in Montreal,"Rios, Aurea A. (Aurea Amoris)",1995,"Housing, Single family -- Québec (Province) -- Montréal -- Remodeling"
31027,26240,0.8155,"Households, home-based enterprises and housing consolidation in sites and service projects : a case study of the Kingston Metropolitan Region","Douglas, Kirkland S. T. (Kirkland Seymour Todd)",1994,Poor -- Housing -- Jamaica -- Kingston Metropolitan Area
31036,31036,1,Schizophrenia and substance use disorders : implications for social workers,"DeChambeau, Cathy.",2000,Schizophrenia.
31036,80327,0.8883,"Drug and alcohol use among patients with schizophrenia and related psychoses : levels, consequences and changes in psychiatric symptoms and substance abuse at twelve-month follow-up","Margolese, Howard C.",2003,"Health Sciences, Mental Health."
31036,99204,0.8708,Switching antipsychotics in the treatment of schizophrenia : a two-year comparison of patient characteristics and psychiatric service use,"Schneider, Andrea L.",2006,"Health Sciences, Mental Health."
31036,20278,0.8687,Substance-related disorders and associated psychopathology : predicting addictions treatment outcome,"Paraherakis, Antonios.",1997,"Health Sciences, Mental Health."
31036,68499,0.8638,Contributors to female use of psychopharmacological agents : a multifactorial cognitive and social analysis,"Lapp, Janet E.",1980,Women -- Drug use.
31036,35930,0.8387,Neuroleptic therapeutic response and genetics of schizophrenia,"Ridha, Joober.",1998,"Biology, Neuroscience."
31161,31161,1,Implications of code-sharing agreements on air carriers' liability,"Guelfi, Audrey.",2000,Airlines -- Reservation systems.
31161,61155,0.8436,Legal aspects of licensing of airline transport pilots : international standards versus Canadian aviation safety regulations,"Swiecicki, Ewa",1992,Law.
31161,99131,0.8359,Facilitation versus security,"Cioranu, Adrian Gabriel.",2005,"Aeronautics, Commercial -- Passenger traffic."
31161,106618,0.8285,"The regulatory approach of ICAO, the United States and Canada to Civil Unmanned Aircraft Systems in particular to certification and licensing","Plücken, Milan",2012,Social Sciences - Law
31161,118162,0.8252,Jurisdiction over events aboard aircraft.,"Freitas, Jorge A. De Sousa.",1962,Air and Space Law.
31161,115602,0.8174,Essays on airine competition and network structure,"Belford, Carlene.",2008,Airlines -- Cost of operation.
31163,31163,1,"The doctrine of command responsibility and the International Criminal Court : development, regression or compromise?","Hood, Andrew, 1976-",2001,International Criminal Court.
31163,130721,0.7652,Is there a duty of allegiance towards the state? The legitimacy of disloyalty as a rationale for treason law in the social contract paradigm,"Henri, Vanessa",2015,Social Sciences - Law
31163,114047,0.7448,La responsabilité du supérieur hiérarchique basée sur la négligence en droit pénal international ,"Robert, Marie-Pierre.",2007,Criminal liability (International law)
31163,67047,0.7062,The influence of law upon command of space,"Bellflower, John",2009,Social Sciences - Law
31163,82670,0.7048,"To cause or not to cause, that is the question : the prosecutorial standard for incitement at international criminal law","Schuetze, Jennifer Johanna",2005,Criminal liability (International law)
31163,146900,0.7034,Hired guns and human rights: arbitral justice for victims of private military and security companies,"Charamba, Kuzivakwashe",2017,Law
30817,30817,1,"A population-based case-control study of breast cancer and active smoking and environmental tobacco smoke among postmenopausal women in Montreal, Canada ","Faith, Janet M.",2000,"Health Sciences, Public Health."
30817,31184,0.8693,Hypertension and the risk of cancer : a population study,"Assimes, Themistocles.",2001,"Biology, Biostatistics."
